uuid,type,title,rating,reviews,score,timestamp
d001c0a7-98cd-4e70-a765-34f03a20536d,regular_store,mr. falafel,4.6,51,0.09,2022_Apr_21_08_52_41
0f2be470-5908-48c9-a003-f77b82e3fa7b,regular_store,shawarma khalifa,4.8,49,0.09,2022_Apr_21_08_52_41
0da45378-a3d9-449e-901a-b2629622015e,regular_store,restaurant salon asia,4.7,50,0.09,2022_Apr_21_08_52_41
f588698a-bfaf-4420-b004-ed217da263f9,regular_store,sushi miau,3.9,49,0.08,2022_Apr_21_08_52_41
4105f579-e664-4fa7-bf48-743fa224c8a7,regular_store,pardeshi tadka,4.8,43,0.08,2022_Apr_21_08_52_41
a220a2d5-7765-49eb-b6ae-316a54867f36,regular_store,restaurant lung tu - ñuñoa,4.6,44,0.08,2022_Apr_21_08_52_41
dc33fc10-eba3-4dd6-9e07-643c3c0647aa,regular_store,hong loc,4.7,41,0.08,2022_Apr_21_08_52_41
8c17853b-9b86-47b7-a9ee-503f4c0f3e3b,regular_store,el brasero,4.3,43,0.07,2022_Apr_21_08_52_41
56cd970d-76af-45e4-8a8f-7c7cb316cfbe,regular_store,oporto steak bar,4.8,35,0.07,2022_Apr_21_08_52_41
4f6f5990-1a9f-48af-9004-7303519bc8fb,regular_store,pad thai house,3.6,49,0.07,2022_Apr_21_08_52_41
259650e8-fb8e-402a-91ef-c1a665718267,regular_store,mamut market - providencia 🛒,4.6,39,0.07,2022_Apr_21_08_52_41
487fc21d-601d-4162-8109-861145662c8e,regular_store,restaurant vitoria,4.4,35,0.06,2022_Apr_21_08_52_41
78873284-f221-4a44-ac41-d55804ba1b6c,regular_store,burger pana 08,4.8,30,0.06,2022_Apr_21_08_52_41
efbec8c2-cff7-59f5-898d-dc588218d027,regular_store,el mundo de las papas fritas -  la reina,4.6,31,0.06,2022_Apr_21_08_52_41
60ac56c0-3f6a-4c12-999e-2ede83f260e5,regular_store,restaurant hong kong - centro,4.5,35,0.06,2022_Apr_21_08_52_41
336eb8ae-f6b5-401a-829d-254771903d0d,regular_store,oh my teque,4.3,32,0.06,2022_Apr_21_08_52_41
9cb3d944-7f3c-44b7-a867-6ee69ceeeb7c,regular_store,bendita sopaipilla - ñuñoa,4.8,24,0.05,2022_Apr_21_08_52_41
99c29e94-79ee-4842-ad98-3d961ca309e3,regular_store,obvious burger,4.9,26,0.05,2022_Apr_21_08_52_41
d83e21c6-a51d-4a8f-a141-58887b6e67ff,regular_store,el callejero thai,4.4,30,0.05,2022_Apr_21_08_52_41
860ea6fa-03ab-4e35-b362-a15d68211e8d,regular_store,pollo stop - ñuñoa,3.5,37,0.05,2022_Apr_21_08_52_41
78642748-1046-468f-a7e5-952048b62882,regular_store,holy chicken - apoquindo,3.7,29,0.04,2022_Apr_21_08_52_41
0a6cdd1d-4b86-4fe2-b224-f3553763b36b,regular_store,salón china restaurante,5.0,22,0.04,2022_Apr_21_08_52_41
2bde5030-8187-42b6-acd4-a840627760de,regular_store,hiroki sushi,4.4,25,0.04,2022_Apr_21_08_52_41
8de4ae54-0493-415e-abbc-9df58d1fdd99,regular_store,rock sushi,4.2,26,0.04,2022_Apr_21_08_52_41
56709ca6-c12a-46f6-9948-668c9772b190,regular_store,guria,4.8,20,0.04,2022_Apr_21_08_52_41
31ed2f57-45e9-494d-9d80-a58ce8fe5fbb,regular_store,restaurant ming zhu limitada,4.8,23,0.04,2022_Apr_21_08_52_41
e5a90aff-7d3f-4cf8-a68f-6c4f6689bd90,regular_store,ludico sanguchería,4.1,27,0.04,2022_Apr_21_08_52_41
de857d2a-0468-4571-82e6-27e53f7dfd7b,regular_store,arlecchino pizzas - providencia,4.4,16,0.03,2022_Apr_21_08_52_41
c36abc39-714c-4942-9659-af0acf6d49d2,regular_store,huascaran,4.2,19,0.03,2022_Apr_21_08_52_41
45e9afe0-1f49-5a70-8566-82aeae37061d,regular_store,i love curry,4.2,18,0.03,2022_Apr_21_08_52_41
cfae75a0-5c33-4139-8636-91c10658337a,regular_store,electric chicken,4.4,15,0.03,2022_Apr_21_08_52_41
179d0992-6f65-48f3-9284-77459ed7445b,regular_store,slicy rocks pizza,4.7,18,0.03,2022_Apr_21_08_52_41
07ef6564-5cd7-4a02-8918-b0a0f0afd623,regular_store,padthaiwok,4.1,16,0.03,2022_Apr_21_08_52_41
cb729da2-aa10-5548-bb43-d0f6ae39168a,regular_store,criolloburgers limitada,4.8,18,0.03,2022_Apr_21_08_52_41
568611c8-7dbe-5699-a898-820f6e6eb155,regular_store,paradiso - escuela militar,4.3,15,0.03,2022_Apr_21_08_52_41
a2617d9e-8df9-43cf-8328-dfff46820138,regular_store,botillería vinosexpress las condes🛒🍾,3.6,17,0.02,2022_Apr_21_08_52_41
5046bb70-b3b3-4111-b5a0-d6893df39b96,regular_store,take eat,3.9,12,0.02,2022_Apr_21_08_52_41
82c83297-7568-4e44-87a1-d4eea228a4c7,regular_store,sumo sushi,4.5,13,0.02,2022_Apr_21_08_52_41
5e6ffba4-16f4-4f9c-8e94-b0618edfeb3f,regular_store,pho & banh mi by vietnam discovery,4.5,11,0.02,2022_Apr_21_08_52_41
9a8041cb-7c3a-41db-966f-364fa5d6a2f8,regular_store,panda sushi delivery,4.7,12,0.02,2022_Apr_21_08_52_41
